open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,symbol
2026-04-05 04:30:00,80.52,80.52,80.43,80.49,10040.542,2026-04-05 04:44:59.999,807989.29316,2907,8356.84100000,672489.01270000,0,SOLUSDT
2026-04-05 04:45:00,80.48,80.58,80.29,80.33,25396.28,2026-04-05 04:59:59.999,2043101.07449,4914,14215.70700000,1143779.17132000,0,SOLUSDT
2026-04-05 05:00:00,80.33,80.43,80.33,80.34,5735.567,2026-04-05 05:14:59.999,461018.4356,3204,2822.73500000,226874.62528000,0,SOLUSDT
2026-04-05 05:15:00,80.35,80.39,80.21,80.27,7739.483,2026-04-05 05:29:59.999,621616.38003,3039,2203.36900000,176933.61643000,0,SOLUSDT
2026-04-05 05:30:00,80.28,80.38,80.23,80.38,23888.897,2026-04-05 05:44:59.999,1918411.78361,3793,19149.98900000,1537925.83746000,0,SOLUSDT
2026-04-05 05:45:00,80.37,80.41,80.14,80.31,11714.94,2026-04-05 05:59:59.999,940693.91591,3884,6895.33900000,553726.37693000,0,SOLUSDT
2026-04-05 06:00:00,80.3,80.38,79.52,79.61,63736.31,2026-04-05 06:14:59.999,5093023.14753,14262,21521.92800000,1719181.50977000,0,SOLUSDT
2026-04-05 06:15:00,79.61,79.73,79.41,79.7,36595.855,2026-04-05 06:29:59.999,2910783.74477,8463,14009.34000000,1114794.90779000,0,SOLUSDT
2026-04-05 06:30:00,79.69,79.86,79.63,79.7,32341.139,2026-04-05 06:44:59.999,2579058.0481,5678,15350.15300000,1224213.97025000,0,SOLUSDT
2026-04-05 06:45:00,79.71,79.75,79.57,79.59,21223.345,2026-04-05 06:59:59.999,1690947.47024,5383,9834.72000000,783745.17859000,0,SOLUSDT
2026-04-05 07:00:00,79.59,79.83,79.57,79.81,32776.746,2026-04-05 07:14:59.999,2613519.1657,4754,15861.80800000,1265007.33743000,0,SOLUSDT
2026-04-05 07:15:00,79.81,79.88,79.66,79.72,22348.098,2026-04-05 07:29:59.999,1782566.0298,4066,13427.72800000,1071068.37875000,0,SOLUSDT
2026-04-05 07:30:00,79.72,79.73,79.51,79.56,9864.241,2026-04-05 07:44:59.999,785082.71943,3209,5076.89800000,404050.71050000,0,SOLUSDT
2026-04-05 07:45:00,79.57,79.65,79.54,79.6,5506.212,2026-04-05 07:59:59.999,438284.01804,2293,2951.50100000,234915.02130000,0,SOLUSDT
2026-04-05 08:00:00,79.59,79.67,79.54,79.62,13848.33,2026-04-05 08:14:59.999,1102305.82703,3041,7632.23800000,607507.09185000,0,SOLUSDT
2026-04-05 08:15:00,79.62,79.69,79.61,79.64,3985.722,2026-04-05 08:29:59.999,317472.28443,1817,2093.89500000,166784.49233000,0,SOLUSDT
2026-04-05 08:30:00,79.63,79.71,79.62,79.67,17154.78,2026-04-05 08:44:59.999,1366706.25843,1996,13901.94300000,1107558.17384000,0,SOLUSDT
2026-04-05 08:45:00,79.67,79.69,79.54,79.62,17936.823,2026-04-05 08:59:59.999,1428023.69797,2367,4260.52700000,339252.91564000,0,SOLUSDT
2026-04-05 09:00:00,79.62,79.82,79.62,79.69,8354.188,2026-04-05 09:14:59.999,666185.12775,3029,4065.54800000,324180.18773000,0,SOLUSDT
2026-04-05 09:15:00,79.69,79.88,79.66,79.84,7985.144,2026-04-05 09:29:59.999,637130.91343,2170,4826.39500000,385151.05025000,0,SOLUSDT
2026-04-05 09:30:00,79.85,79.86,79.72,79.85,5815.119,2026-04-05 09:44:59.999,463983.78483,1754,3409.03100000,271993.96712000,0,SOLUSDT
2026-04-05 09:45:00,79.85,79.87,79.82,79.84,4315.142,2026-04-05 09:59:59.999,344522.59721,1155,2754.32700000,219911.37016000,0,SOLUSDT
2026-04-05 10:00:00,79.83,79.92,79.78,79.85,10032.106,2026-04-05 10:14:59.999,801042.26771,2165,6241.05400000,498341.84183000,0,SOLUSDT
2026-04-05 10:15:00,79.85,79.93,79.81,79.92,4352.411,2026-04-05 10:29:59.999,347607.14812,1420,1472.51100000,117638.76244000,0,SOLUSDT
2026-04-05 10:30:00,79.92,80.24,79.84,80.03,23105.124,2026-04-05 10:44:59.999,1849744.18743,5451,15609.12400000,1249475.31632000,0,SOLUSDT
2026-04-05 10:45:00,80.02,80.02,79.82,79.84,9662.556,2026-04-05 10:59:59.999,771959.27004,1798,3100.79200000,247740.79620000,0,SOLUSDT
2026-04-05 11:00:00,79.84,79.91,79.79,79.85,8440.197,2026-04-05 11:14:59.999,674076.60042,2751,2336.44600000,186602.85709000,0,SOLUSDT
2026-04-05 11:15:00,79.84,79.9,79.75,79.81,12893.491,2026-04-05 11:29:59.999,1029290.75082,2508,3966.53200000,316635.09937000,0,SOLUSDT
2026-04-05 11:30:00,79.82,79.86,79.77,79.85,4664.668,2026-04-05 11:44:59.999,372304.44436,1994,2952.23800000,235621.47835000,0,SOLUSDT
2026-04-05 11:45:00,79.84,79.92,79.82,79.9,5690.98,2026-04-05 11:59:59.999,454567.86806,1712,4044.10000000,323025.82372000,0,SOLUSDT
2026-04-05 12:00:00,79.91,79.95,79.67,79.68,11036.811,2026-04-05 12:14:59.999,880565.13437,3360,4571.30900000,364818.84386000,0,SOLUSDT
2026-04-05 12:15:00,79.67,79.74,79.56,79.56,10689.782,2026-04-05 12:29:59.999,851401.11134,2995,3941.54500000,313928.69902000,0,SOLUSDT
2026-04-05 12:30:00,79.56,79.56,78.94,79.0,56026.399,2026-04-05 12:44:59.999,4437591.45266,15439,21485.58900000,1701014.06703000,0,SOLUSDT
