open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,symbol
2026-04-05 08:00:00,2037.29,2052.53,2035.91,2042.32,8916.0507,2026-04-05 11:59:59.999,18218049.005971,202356,4562.06160000,9323007.47519400,0,ETHUSDT
2026-04-05 12:00:00,2042.31,2069.89,2021.5,2053.85,37354.6547,2026-04-05 15:59:59.999,76328023.133075,576523,19491.13510000,39836565.25752100,0,ETHUSDT
2026-04-05 16:00:00,2053.85,2069.95,2048.69,2062.37,21390.3714,2026-04-05 19:59:59.999,44059941.788737,401357,11201.92100000,23079357.87608100,0,ETHUSDT
2026-04-05 20:00:00,2062.38,2123.49,2050.0,2110.17,61128.6087,2026-04-05 23:59:59.999,127660752.804448,874242,30991.10840000,64722424.24680000,0,ETHUSDT
2026-04-06 00:00:00,2110.17,2147.24,2110.17,2129.35,65862.4144,2026-04-06 03:59:59.999,140114580.485285,993102,34410.48650000,73213893.39935900,0,ETHUSDT
2026-04-06 04:00:00,2129.35,2141.0,2120.04,2134.9,40132.1583,2026-04-06 07:59:59.999,85496720.285631,568253,22085.33630000,47055393.11534600,0,ETHUSDT
2026-04-06 08:00:00,2134.91,2174.79,2133.42,2151.53,64975.0888,2026-04-06 11:59:59.999,139879765.803043,807958,34230.93460000,73684425.78985600,0,ETHUSDT
2026-04-06 12:00:00,2151.53,2169.6,2137.76,2164.65,75911.3132,2026-04-06 15:59:59.999,163404692.834073,1308526,39683.53050000,85450758.52399000,0,ETHUSDT
2026-04-06 16:00:00,2164.65,2168.72,2123.6,2144.25,56698.6975,2026-04-06 19:59:59.999,121510455.662051,918441,24780.04950000,53079573.15807900,0,ETHUSDT
2026-04-06 20:00:00,2144.25,2155.06,2087.5,2107.16,52474.6172,2026-04-06 23:59:59.999,110985022.60129,734086,25224.17190000,53329618.24455200,0,ETHUSDT
2026-04-07 00:00:00,2107.16,2120.14,2093.64,2108.37,34808.2346,2026-04-07 03:59:59.999,73406107.762564,750469,16617.12260000,35045780.45618000,0,ETHUSDT
2026-04-07 04:00:00,2108.37,2119.21,2096.69,2104.04,24073.3793,2026-04-07 07:59:59.999,50676334.851655,349115,11524.04160000,24269896.03075500,0,ETHUSDT
2026-04-07 08:00:00,2104.03,2133.83,2082.35,2089.58,52681.4772,2026-04-07 11:59:59.999,111004023.26421,599211,27039.71400000,56972394.85663900,0,ETHUSDT
2026-04-07 12:00:00,2089.58,2093.17,2060.24,2080.06,76548.9624,2026-04-07 15:59:59.999,158951471.575082,934462,38829.09200000,80626048.14474700,0,ETHUSDT
2026-04-07 16:00:00,2080.07,2116.65,2077.52,2113.39,55202.1323,2026-04-07 19:59:59.999,115723501.053713,722308,29482.96430000,61831319.62890100,0,ETHUSDT
2026-04-07 20:00:00,2113.39,2273.87,2110.68,2240.01,216780.6235,2026-04-07 23:59:59.999,476449768.271651,1834146,115760.04320000,254332076.42040300,0,ETHUSDT
2026-04-08 00:00:00,2240.01,2251.39,2228.24,2234.68,71283.3269,2026-04-08 03:59:59.999,159528086.663252,669709,34637.98940000,77525689.48720200,0,ETHUSDT
2026-04-08 04:00:00,2234.68,2260.76,2234.68,2253.76,59756.0098,2026-04-08 07:59:59.999,134321829.147398,450200,27751.82860000,62391636.97627500,0,ETHUSDT
2026-04-08 08:00:00,2253.76,2263.35,2237.12,2247.23,52326.6102,2026-04-08 11:59:59.999,117793378.738903,465377,25009.63680000,56312486.49653700,0,ETHUSDT
2026-04-08 12:00:00,2247.23,2270.55,2186.61,2215.45,129483.0314,2026-04-08 15:59:59.999,288320268.988727,1402147,61447.92230000,136753786.95115500,0,ETHUSDT
2026-04-08 16:00:00,2215.44,2239.5,2197.7,2211.04,53536.308,2026-04-08 19:59:59.999,118658276.291889,861618,25264.21540000,56010537.67657800,0,ETHUSDT
2026-04-08 20:00:00,2211.03,2222.55,2179.78,2190.0,38332.3458,2026-04-08 23:59:59.999,84299081.919746,490934,16871.73180000,37114876.64195600,0,ETHUSDT
2026-04-09 00:00:00,2190.0,2193.79,2162.0,2182.49,34908.9725,2026-04-09 03:59:59.999,76035723.465307,537316,14069.76520000,30647993.65805700,0,ETHUSDT
2026-04-09 04:00:00,2182.49,2188.99,2175.6,2181.14,24256.0905,2026-04-09 07:59:59.999,52914191.092959,263219,10811.29420000,23588826.27989400,0,ETHUSDT
2026-04-09 08:00:00,2181.14,2197.7,2176.37,2180.26,33344.5829,2026-04-09 11:59:59.999,72921406.083582,335762,17197.63000000,37604320.35943300,0,ETHUSDT
2026-04-09 12:00:00,2180.26,2225.0,2157.31,2217.99,76023.3606,2026-04-09 15:59:59.999,166284446.16329,1054255,40876.56500000,89470633.09833400,0,ETHUSDT
2026-04-09 16:00:00,2218.0,2229.4,2193.0,2216.42,57199.04,2026-04-09 19:59:59.999,126594157.187059,935902,29176.84280000,64608129.94041000,0,ETHUSDT
2026-04-09 20:00:00,2216.42,2246.0,2183.33,2190.2,49585.9038,2026-04-09 23:59:59.999,109658378.673232,629932,23408.44410000,51812822.22954600,0,ETHUSDT
2026-04-10 00:00:00,2190.17,2204.1,2176.1,2186.06,33173.2947,2026-04-10 03:59:59.999,72670870.663377,484630,14426.30310000,31619404.47379900,0,ETHUSDT
2026-04-10 04:00:00,2186.05,2203.11,2176.4,2179.28,31613.9975,2026-04-10 07:59:59.999,69238190.635896,277027,12920.84900000,28300207.63759400,0,ETHUSDT
2026-04-10 08:00:00,2179.27,2224.28,2177.13,2215.65,47671.2334,2026-04-10 11:59:59.999,105112528.177281,363412,23430.27260000,51632890.12002900,0,ETHUSDT
2026-04-10 12:00:00,2215.66,2257.99,2208.18,2224.27,95750.7477,2026-04-10 15:59:59.999,213735467.924631,996721,46828.92580000,104591139.23797800,0,ETHUSDT
2026-04-10 16:00:00,2224.28,2256.0,2221.46,2253.17,37702.4223,2026-04-10 19:59:59.999,84568813.010608,510186,21652.97920000,48564604.97566900,0,ETHUSDT
2026-04-10 20:00:00,2253.17,2257.14,2235.41,2245.05,26987.3902,2026-04-10 23:59:59.999,60666429.664333,297237,12817.98250000,28826260.58324500,0,ETHUSDT
2026-04-11 00:00:00,2245.06,2252.15,2234.81,2237.17,19355.1058,2026-04-11 03:59:59.999,43402035.074122,190679,8104.67400000,18173575.32712400,0,ETHUSDT
2026-04-11 04:00:00,2237.18,2242.93,2229.0,2232.6,22477.3402,2026-04-11 07:59:59.999,50241515.903762,182480,10653.96790000,23813020.26310300,0,ETHUSDT
2026-04-11 08:00:00,2232.6,2249.31,2232.14,2246.11,22661.8276,2026-04-11 11:59:59.999,50767333.08363,162437,11403.74900000,25550566.21265100,0,ETHUSDT
2026-04-11 12:00:00,2246.12,2256.11,2233.72,2249.54,18996.8388,2026-04-11 15:59:59.999,42622018.98582,221100,8945.37600000,20071521.99036200,0,ETHUSDT
2026-04-11 16:00:00,2249.54,2329.93,2246.53,2315.96,89257.1086,2026-04-11 19:59:59.999,204782078.795637,746802,51065.73630000,117107236.53372700,0,ETHUSDT
2026-04-11 20:00:00,2315.96,2317.14,2276.47,2284.99,42037.1829,2026-04-11 23:59:59.999,96556011.303951,426153,17065.48450000,39202170.57802700,0,ETHUSDT
